Model,TBS1072C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,390.625
Sample Interval,12.5
Filter Frequency,2e+08
Record Length,1250
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,dB
Vertical Offset,0
Vertical Scale,20
Label,
FFT-FREQ,FFT-AMPL
3.050e+03,-96.5312
3.062e+03,-100.025
3.075e+03,-103.519
3.088e+03,-100.025
3.100e+03,-96.5312
3.112e+03,-100.025
3.125e+03,-103.519
3.138e+03,-103.519
3.150e+03,-103.519
3.162e+03,-100.025
3.175e+03,-96.5312
3.188e+03,-100.025
3.200e+03,-103.519
3.212e+03,-100.509
3.225e+03,-97.5
3.238e+03,-97.5
3.250e+03,-97.5
3.262e+03,-97.5
3.275e+03,-97.5
3.288e+03,-99.0062
3.300e+03,-100.509
3.312e+03,-100.509
3.325e+03,-100.509
3.338e+03,-100.509
3.350e+03,-100.509
3.362e+03,-100.509
3.375e+03,-100.509
3.388e+03,-102.016
3.400e+03,-103.519
3.412e+03,-103.519
3.425e+03,-103.519
3.438e+03,-103.519
3.450e+03,-103.519
3.462e+03,-100.025
3.475e+03,-96.5312
3.488e+03,-100.025
3.500e+03,-103.519
3.512e+03,-102.016
3.525e+03,-100.509
3.538e+03,-102.016
3.550e+03,-103.519
3.562e+03,-100.025
3.575e+03,-96.5312
3.588e+03,-93.5219
3.600e+03,-90.5094
3.612e+03,-93.5219
3.625e+03,-96.5312
3.638e+03,-95.025
3.650e+03,-93.5188
3.662e+03,-95.5094
3.675e+03,-97.5
3.688e+03,-97.5
3.700e+03,-97.5
3.712e+03,-100.509
3.725e+03,-103.519
3.738e+03,-103.519
3.750e+03,-103.519
3.762e+03,-98.5188
3.775e+03,-93.5188
3.788e+03,-95.025
3.800e+03,-96.5312
3.812e+03,-100.025
3.825e+03,-103.519
3.838e+03,-103.519
3.850e+03,-103.519
3.862e+03,-103.519
3.875e+03,-103.519
3.888e+03,-99.0062
3.900e+03,-94.4906
3.912e+03,-99.0062
3.925e+03,-103.519
3.938e+03,-103.519
3.950e+03,-103.519
3.962e+03,-100.025
3.975e+03,-96.5312
3.988e+03,-100.025
4.000e+03,-103.519
4.012e+03,-100.025
4.025e+03,-96.5312
4.038e+03,-93.875
4.050e+03,-91.2156
4.062e+03,-97.3688
4.075e+03,-103.519
4.088e+03,-100.025
4.100e+03,-96.5312
4.112e+03,-96.5312
4.125e+03,-96.5312
4.138e+03,-100.025
4.150e+03,-103.519
4.162e+03,-100.025
4.175e+03,-96.5312
4.188e+03,-97.0156
4.200e+03,-97.5
4.212e+03,-97.0156
4.225e+03,-96.5312
4.238e+03,-100.025
4.250e+03,-103.519
4.262e+03,-103.519
4.275e+03,-103.519
4.288e+03,-100.025
4.300e+03,-96.5312
4.312e+03,-95.2562
4.325e+03,-93.9781
4.338e+03,-95.7406
4.350e+03,-97.5
4.362e+03,-95.7406
4.375e+03,-93.9781
4.388e+03,-97.2438
4.400e+03,-100.509
4.412e+03,-98.5219
4.425e+03,-96.5312
4.438e+03,-98.5219
4.450e+03,-100.509
4.462e+03,-102.016
4.475e+03,-103.519
4.488e+03,-100.025
4.500e+03,-96.5312
4.512e+03,-96.5312
4.525e+03,-96.5312
4.538e+03,-100.025
4.550e+03,-103.519
4.562e+03,-97.2438
4.575e+03,-90.9688
4.588e+03,-97.2438
4.600e+03,-103.519
4.612e+03,-102.016
4.625e+03,-100.509
4.638e+03,-100.509
4.650e+03,-100.509
4.662e+03,-102.016
4.675e+03,-103.519
4.688e+03,-97.95
4.700e+03,-92.3812
4.712e+03,-97.95
4.725e+03,-103.519
4.738e+03,-102.016
4.750e+03,-100.509
4.762e+03,-97.5
4.775e+03,-94.4906
4.788e+03,-95.5125
4.800e+03,-96.5312
4.812e+03,-95.5125
4.825e+03,-94.4906
4.838e+03,-99.0062
4.850e+03,-103.519
4.862e+03,-100.025
4.875e+03,-96.5312
4.888e+03,-98.5219
4.900e+03,-100.509
4.912e+03,-102.016
4.925e+03,-103.519
4.938e+03,-100.509
4.950e+03,-97.5
4.962e+03,-97.5
4.975e+03,-97.5
4.988e+03,-95.5094
5.000e+03,-93.5188
5.012e+03,-98.5188
5.025e+03,-103.519
5.038e+03,-98.75
5.050e+03,-93.9781
5.062e+03,-95.7406
5.075e+03,-97.5
5.088e+03,-95.5094
5.100e+03,-93.5188
5.112e+03,-98.5188
5.125e+03,-103.519
5.138e+03,-100.025
5.150e+03,-96.5312
5.162e+03,-100.025
5.175e+03,-103.519
5.188e+03,-102.016
5.200e+03,-100.509
5.212e+03,-102.016
5.225e+03,-103.519
5.238e+03,-103.519
5.250e+03,-103.519
5.262e+03,-100.025
5.275e+03,-96.5312
5.288e+03,-100.025
5.300e+03,-103.519
5.312e+03,-103.519
5.325e+03,-103.519
5.338e+03,-103.519
5.350e+03,-103.519
5.362e+03,-103.519
5.375e+03,-103.519
5.388e+03,-100.025
5.400e+03,-96.5312
5.412e+03,-100.025
5.425e+03,-103.519
5.438e+03,-103.519
5.450e+03,-103.519
5.462e+03,-103.519
5.475e+03,-103.519
5.488e+03,-102.016
5.500e+03,-100.509
5.512e+03,-102.016
5.525e+03,-103.519
5.538e+03,-103.519
5.550e+03,-103.519
5.562e+03,-100.025
5.575e+03,-96.5312
5.588e+03,-100.025
5.600e+03,-103.519
5.612e+03,-103.519
5.625e+03,-103.519
5.638e+03,-103.519
5.650e+03,-103.519
5.662e+03,-100.509
5.675e+03,-97.5
5.688e+03,-100.509
5.700e+03,-103.519
5.712e+03,-103.519
5.725e+03,-103.519
