Frequency_Hz,MFB_Order_2_dB,MFB_Order_4_dB,MFB_Order_6_dB,Sallen-Key_Order_2_dB,Sallen-Key_Order_4_dB,Sallen-Key_Order_6_dB,Butterworth_Order_2_dB,Butterworth_Order_4_dB,Butterworth_Order_6_dB
1000,-0.617689248609088,-1.23537849721818,-1.85306774582726,-0.617689248609088,-1.23537849721818,-1.85306774582726,3.59300649597748e-06,-1.4869929534253e-12,0
2000,-2.68548139799038,-5.37096279598075,-8.05644419397113,-2.68548139799038,-5.37096279598075,-8.05644419397113,2.7727203288162e-07,-9.17585940780398e-15,0
2500,-3.77934615211604,-7.55869230423208,-11.3380384563481,-3.77934615211604,-7.55869230423208,-11.3380384563481,2.84222258859173e-08,0,0
2800,-4.41442123355437,-8.82884246710874,-13.2432637006631,-4.41442123355437,-8.82884246710874,-13.2432637006631,9.16234655935121e-11,0,0
3100,-5.02699034869554,-10.0539806973911,-15.0809710460866,-5.02699034869554,-10.0539806973911,-15.0809710460866,2.8414300521627e-08,0,0
4000,-6.71508237904855,-13.4301647580971,-20.1452471371457,-6.71508237904855,-13.4301647580971,-20.1452471371457,3.35483781828126e-07,-1.25075461186455e-14,0
5000,-8.33976894977689,-16.6795378995538,-25.0193068493307,-8.33976894977689,-16.6795378995538,-25.0193068493307,9.386396776092e-07,-1.0127897475408e-13,0
